wall_time_s,dope_time_s,position,force_n,force_setpoint_n,segment_idx
13.673122,0.000000,0.055650,6.720000,5.000000,2
13.724165,0.000000,0.055650,6.720000,5.000000,2
13.774992,0.000000,0.055649,6.720000,5.000000,2
13.825743,0.000000,0.055649,6.720000,5.000000,2
13.876224,0.000000,0.055649,6.660000,5.000000,2
13.927508,0.000000,0.055649,6.660000,5.000000,2
13.978097,0.000000,0.055649,6.660000,5.000000,2
14.028994,0.000000,0.055649,6.720000,5.000000,2
14.080269,0.000000,0.055649,6.720000,5.000000,2
14.131338,0.000000,0.055649,6.720000,5.000000,2
14.182306,0.000000,0.055648,6.660000,5.000000,2
14.233389,0.000000,0.055648,6.720000,5.000000,2
14.284330,0.000000,0.055648,6.720000,5.000000,2
14.335127,0.000000,0.055648,6.720000,5.000000,2
14.386049,0.000000,0.055648,6.660000,5.000000,2
14.437291,0.000000,0.055648,6.660000,5.000000,2
14.488167,0.000000,0.055648,6.790000,5.000000,2
14.538749,0.000000,0.055647,6.720000,5.000000,2
14.589522,0.000000,0.055647,6.660000,5.000000,2
14.640392,0.000000,0.055647,6.660000,5.000000,2
14.691217,0.000000,0.055647,6.720000,5.000000,2
14.742497,0.000000,0.055647,6.720000,5.000000,2
14.793568,0.000000,0.055647,6.790000,5.000000,2
14.844243,0.000000,0.055647,6.790000,5.000000,2
14.894949,0.000000,0.055647,6.660000,5.000000,2
14.945497,0.000000,0.055646,6.720000,5.000000,2
14.996764,0.000000,0.055646,6.720000,5.000000,2
